"Τιμές υπερπαραμέτρων (καθαρά ενδεικτικές, βάλε ο,τι θέλεις)",Δεν το έτρεξε κανείς,Τρέχει από κάποιον τώρα,"Έτρεξε, steps για 0.9 acc:"
"σκέτο grokfast",,,28014
"top_k=0.3, top_k_sampling_prob=0.9, high_freq_better=True",X,,
"top_k=0.2, top_k_sampling_prob=0.9, high_freq_better=True",Χ,,
"top_k=0.4, top_k_sampling_prob=0.9, high_freq_better=True",Χ,,
"top_k=0.5, top_k_sampling_prob=0.9, high_freq_better=True",Χ,,
"top_k=0.1, top_k_sampling_prob=0.9, high_freq_better=True",Χ,,
"top_k=0.3, top_k_sampling_prob=0.8, high_freq_better=True",Χ,,
"top_k=0.3, top_k_sampling_prob=0.8, high_freq_better=True",Χ,,
"top_k=0.3, top_k_sampling_prob=0.8, high_freq_better=True",Χ,,
"top_k=0.3, top_k_sampling_prob=0.8, high_freq_better=True",Χ,,
"top_k=0.3, top_k_sampling_prob=0.8, high_freq_better=True",Χ,,
"top_k=0.3, top_k_sampling_prob=0.7, high_freq_better=True",Χ,,
"top_k=0.3, top_k_sampling_prob=0.7, high_freq_better=True",Χ,,
"top_k=0.3, top_k_sampling_prob=0.7, high_freq_better=True",Χ,,
"top_k=0.3, top_k_sampling_prob=0.7, high_freq_better=True",Χ,,
"top_k=0.3, top_k_sampling_prob=0.7, high_freq_better=True",Χ,,
